state,suburb,postcode,latitude,longitude
NSW,Abbotsbury,2176,-33.865,150.85111
NSW,Abbotsford,2046,-33.85667,151.12611
NSW,Abercrombie,2795,-33.39,149.565
NSW,Abercrombie River,2795,-33.95667,149.33444
NSW,Aberdare,2325,-32.84278,151.38028
NSW,Aberdeen,2336,-30.00667,151.06778
NSW,Aberfoyle,2350,-30.27333,152.01778
NSW,Aberglasslyn,2320,-32.69833,151.53444
NSW,Abermain,2326,-32.79833,151.41778
NSW,Abernethy,2325,-32.87306,151.40444
NSW,Abington,2350,-30.32361,151.23639
NSW,Acacia Creek,2476,-28.365,152.31778
NSW,Acacia Gardens,2763,-33.73222,150.91278
NSW,Acacia Plateau,2476,-28.38167,152.36778
NSW,Adaminaby,2629,-35.99556,148.77472
NSW,Adamstown,2289,-32.93167,151.71778
NSW,Adamstown Heights,2289,-32.94833,151.70111
NSW,Adelong,2729,-35.29833,148.05111
NSW,Adjungbilly,2727,-35.09833,148.40111
NSW,Afterlee,2474,-28.57389,152.82861
NSW,Agnes Banks,2753,-33.615,150.71778
NSW,Airds,2560,-34.09,150.82611
NSW,Akolele,2546,-36.34833,150.06778
NSW,Albion Park,2527,-34.58167,150.77611
NSW,Albion Park Rail,2527,-34.565,150.79278
NSW,Albury,2640,-36.065,146.90111
NSW,Aldavilla,2440,-31.08167,152.76778
NSW,Alexandria,2015,-33.915,151.19278
NSW,Alfredtown,2650,-35.165,147.51778
NSW,Alice,2460,-29.03167,152.58444
NSW,Alison,2420,-33.265,151.39833
NSW,Allambie Heights,2100,-33.76083,151.25111
NSW,Allandale,2320,-32.715,151.41778
NSW,Allawah,2218,-33.97333,151.11778
NSW,Alleena,2671,-34.065,147.13444
NSW,Allgomera,2441,-30.81333,152.80528
NSW,Allworth,2425,-32.53667,151.94167
NSW,Allynbrook,2311,-32.3475,151.5525
NSW,Alma Park,2659,-35.59833,146.78444
NSW,Alpine,2575,-34.415,150.51778
NSW,Alstonvale,2477,-28.79556,153.44139
NSW,Alstonville,2477,-28.83167,153.43444
NSW,Alumy Creek,2460,-29.64833,152.95111
NSW,Ambarvale,2560,-34.08167,150.80111
NSW,Anambah,2320,-32.67333,151.49278
NSW,Ando,2631,-36.73167,149.26778
NSW,Anembo,2621,-35.815,149.41778
NSW,Angledale,2550,-36.63167,149.88444
